UNIT,YEAR,ACRES BURNED
Inyo,2018,"1,065"
Merced,2018,"1,756"
Riverside,2018,"1,261"
Madera,2018,300
Los Angeles,2018,"1,352"
Madera,2018,300
San Benito,2018,"1,314"
San Benito,2018,513
Tehama,2018,"2,956"
Glenn,2018,"2,290"
Merced,2018,"4,563"
Lake,2018,"15,180"
Tehama,2018,"3,392"
Shasta,2018,386
Butte,2018,460
Lassen,2018,383
San Joaquin,2018,"11,789"
Yolo,2018,"90,000"
El Dorado,2018,316
Siskiyou,2018,"38,008"
San Bernardino,2018,"1,350"
Amador,2018,825
Alameda,2018,480
Tehama,2018,856
Yolo,2018,822
Santa Clara,2018,320
Shasta,2018,"229,651"
San Diego,2018,365
Colusa,2018,"48,920"
Colusa,2018,"410,203"
Placer,2018,695
Kern,2018,"3,516"
Monterey,2018,"2,225"
Shasta,2018,"1,900"
Solano,2018,"2,162"
Monterey,2018,700
Tulare,2018,496
Napa,2018,"2,490"
Tuolumne,2018,573
Monterey,2018,411
Madera,2018,360
Los Angeles,2018,"3,380"
Tehama,2018,"3,889"
Butte,2018,550
Ventura,2018,"4,381"
Butte,2018,"153,336"
Ventura,2018,"96,949"
